Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-01-01,2011,2011Q1,1,January,Jan 2011,1,Saturday,True
2011-01-02,2011,2011Q1,1,January,Jan 2011,2,Sunday,True
2011-01-03,2011,2011Q1,1,January,Jan 2011,3,Monday,False
2011-01-04,2011,2011Q1,1,January,Jan 2011,4,Tuesday,False
2011-01-05,2011,2011Q1,1,January,Jan 2011,5,Wednesday,False
2011-01-06,2011,2011Q1,1,January,Jan 2011,6,Thursday,False
2011-01-07,2011,2011Q1,1,January,Jan 2011,7,Friday,False
2011-01-08,2011,2011Q1,1,January,Jan 2011,8,Saturday,True
2011-01-09,2011,2011Q1,1,January,Jan 2011,9,Sunday,True
2011-01-10,2011,2011Q1,1,January,Jan 2011,10,Monday,False
2011-01-11,2011,2011Q1,1,January,Jan 2011,11,Tuesday,False
2011-01-12,2011,2011Q1,1,January,Jan 2011,12,Wednesday,False
2011-01-13,2011,2011Q1,1,January,Jan 2011,13,Thursday,False
2011-01-14,2011,2011Q1,1,January,Jan 2011,14,Friday,False
2011-01-15,2011,2011Q1,1,January,Jan 2011,15,Saturday,True
2011-01-16,2011,2011Q1,1,January,Jan 2011,16,Sunday,True
2011-01-17,2011,2011Q1,1,January,Jan 2011,17,Monday,False
2011-01-18,2011,2011Q1,1,January,Jan 2011,18,Tuesday,False
2011-01-19,2011,2011Q1,1,January,Jan 2011,19,Wednesday,False
2011-01-20,2011,2011Q1,1,January,Jan 2011,20,Thursday,False
2011-01-21,2011,2011Q1,1,January,Jan 2011,21,Friday,False
2011-01-22,2011,2011Q1,1,January,Jan 2011,22,Saturday,True
2011-01-23,2011,2011Q1,1,January,Jan 2011,23,Sunday,True
2011-01-24,2011,2011Q1,1,January,Jan 2011,24,Monday,False
2011-01-25,2011,2011Q1,1,January,Jan 2011,25,Tuesday,False
2011-01-26,2011,2011Q1,1,January,Jan 2011,26,Wednesday,False
2011-01-27,2011,2011Q1,1,January,Jan 2011,27,Thursday,False
2011-01-28,2011,2011Q1,1,January,Jan 2011,28,Friday,False
2011-01-29,2011,2011Q1,1,January,Jan 2011,29,Saturday,True
2011-01-30,2011,2011Q1,1,January,Jan 2011,30,Sunday,True
2011-01-31,2011,2011Q1,1,January,Jan 2011,31,Monday,False
2011-02-01,2011,2011Q1,2,February,Feb 2011,1,Tuesday,False
2011-02-02,2011,2011Q1,2,February,Feb 2011,2,Wednesday,False
2011-02-03,2011,2011Q1,2,February,Feb 2011,3,Thursday,False
2011-02-04,2011,2011Q1,2,February,Feb 2011,4,Friday,False
2011-02-05,2011,2011Q1,2,February,Feb 2011,5,Saturday,True
2011-02-06,2011,2011Q1,2,February,Feb 2011,6,Sunday,True
2011-02-07,2011,2011Q1,2,February,Feb 2011,7,Monday,False
2011-02-08,2011,2011Q1,2,February,Feb 2011,8,Tuesday,False
2011-02-09,2011,2011Q1,2,February,Feb 2011,9,Wednesday,False
2011-02-10,2011,2011Q1,2,February,Feb 2011,10,Thursday,False
2011-02-11,2011,2011Q1,2,February,Feb 2011,11,Friday,False
2011-02-12,2011,2011Q1,2,February,Feb 2011,12,Saturday,True
2011-02-13,2011,2011Q1,2,February,Feb 2011,13,Sunday,True
2011-02-14,2011,2011Q1,2,February,Feb 2011,14,Monday,False
2011-02-15,2011,2011Q1,2,February,Feb 2011,15,Tuesday,False
2011-02-16,2011,2011Q1,2,February,Feb 2011,16,Wednesday,False
2011-02-17,2011,2011Q1,2,February,Feb 2011,17,Thursday,False
2011-02-18,2011,2011Q1,2,February,Feb 2011,18,Friday,False
2011-02-19,2011,2011Q1,2,February,Feb 2011,19,Saturday,True
2011-02-20,2011,2011Q1,2,February,Feb 2011,20,Sunday,True
2011-02-21,2011,2011Q1,2,February,Feb 2011,21,Monday,False
2011-02-22,2011,2011Q1,2,February,Feb 2011,22,Tuesday,False
2011-02-23,2011,2011Q1,2,February,Feb 2011,23,Wednesday,False
2011-02-24,2011,2011Q1,2,February,Feb 2011,24,Thursday,False
2011-02-25,2011,2011Q1,2,February,Feb 2011,25,Friday,False
2011-02-26,2011,2011Q1,2,February,Feb 2011,26,Saturday,True
2011-02-27,2011,2011Q1,2,February,Feb 2011,27,Sunday,True
2011-02-28,2011,2011Q1,2,February,Feb 2011,28,Monday,False
2011-03-01,2011,2011Q1,3,March,Mar 2011,1,Tuesday,False
2011-03-02,2011,2011Q1,3,March,Mar 2011,2,Wednesday,False
2011-03-03,2011,2011Q1,3,March,Mar 2011,3,Thursday,False
